"","Year","April.sst","May.sst","June.sst","July.sst","April.May.sst","May.June.sst","June.July.sst","April.July.sst","May.July.sst","April.anom","May.anom","June.anom","July.anom","April.May.anom","May.June.anom","June.July.anom","April.July.anom","May.July.anom"
"11",1988,1.95370370259991,3.22407407672317,5.59925925290143,8.57851849661933,2.58888888966154,4.4116666648123,7.08888887476038,4.83888888221096,5.80061727541464,-0.00623931656153798,-0.153827161617499,-0.344216532177395,-0.119781605991315,-0.0800332390895186,-0.249021846897447,-0.231999069084356,-0.156016154086937,-0.205941766595403
"12",1989,2.36296297444238,3.32666666419418,5.61074076758491,8.45000002119276,2.84481481931828,4.46870371588954,7.03037039438883,4.93759260685356,5.79580248432395,0.403019955280924,-0.0512345741464908,-0.332735017493919,-0.248300081417884,0.175892690567216,-0.191984795820205,-0.290517549455902,-0.0573124294443428,-0.210756557686098
"13",1990,2.04407405301377,3.48518518606822,5.84666665395101,8.40555551317003,2.76462961954099,4.66592592000961,7.12611108356052,4.94537035155076,5.91246911772975,0.0841310338523145,0.107283947727548,-0.0968091311278165,-0.292744589440616,0.0957074907899313,0.00523740829986608,-0.194776860284216,-0.0495346847471421,-0.0940899242802953
"14",1991,1.49851850323655,2.71888888102991,5.44962962468465,9.15296298486215,2.10870369213323,4.08425925285728,7.3012963047734,4.70499999845331,5.77382716352557,-0.461424515924902,-0.659012357310762,-0.493846160394174,0.454662882251505,-0.560218436617832,-0.576429258852468,-0.0195916390713355,-0.289905037844584,-0.232731878484477
"15",1992,1.82629629417702,3.69592594658887,6.13185192037512,7.91962962680393,2.76111112038294,4.91388893348199,7.02574077358952,4.89342594698623,5.91580249792264,-0.133646724984432,0.318024708248201,0.188376135296292,-0.778670475806718,0.0921889916318843,0.253200421772246,-0.295147170255214,-0.101479089311664,-0.0907565440874087
"16",1993,3.03666664494409,3.99629632190422,6.3018518642143,8.61962952437224,3.51648148342415,5.14907409305926,7.46074069429327,5.48861108885871,6.30592590349692,1.07672362578263,0.618395083563549,0.358376079135471,-0.0786705782384054,0.847559354673091,0.48838558134951,0.139852750448533,0.493706052560812,0.299366861486872
"17",1994,2.08592592345344,3.41777779437878,6.06851853264703,8.47629630124128,2.75185185891611,4.7431481635129,7.27240741694415,5.01212963793013,5.98753087608903,0.125982904291985,0.0398765560381067,0.125042747568202,-0.222003801369372,0.0829297301650458,0.0824596518031537,-0.0484805269005859,0.0172246016322299,-0.0190281659210214
"18",1995,1.33814814638484,2.92000003214236,5.5970370416288,8.32777780956692,2.1290740892636,4.25851853688558,6.96240742559786,4.54574075743073,5.61493829444603,-0.621794872776608,-0.457901206198312,-0.346438743450023,-0.370522293043726,-0.53984803948746,-0.402169974824168,-0.358480518246875,-0.449164278867167,-0.39162074756402
"19",1996,2.80074074533251,4.18666667408413,6.02666664123535,8.96148155353687,3.49370370970832,5.10666665765974,7.49407409738611,5.49388890354722,6.39160495628545,0.840797726171054,0.808765435743465,0.0831908561565262,0.263181450926227,0.824781580957259,0.445978145949995,0.173186153541376,0.498983867249319,0.385045914275406
"20",1997,1.48481483923064,3.88111105671635,7.00851853688558,9.71481476889716,2.6829629479735,5.44481479680097,8.36166665289137,5.52231480043243,6.86814812083303,-0.475128179930809,0.503209818375685,1.06504275180675,1.01651466628652,0.0140408192224384,0.78412628509122,1.04077870904663,0.527409764134537,0.861589078822985
"21",1998,2.7303703882628,3.32148149719945,5.69555558981719,9.18814819830435,3.02592594273112,4.50851854350832,7.44185189406077,5.23388891839595,6.068395095107,0.77042736910135,-0.0564197411412217,-0.247920195261637,0.489848095693706,0.357003813980064,-0.152169968201429,0.120963950216034,0.238983882098049,0.0618360530969486
"22",1999,1.17148148406435,2.52185187295631,5.16518519542835,7.91888886910898,1.84666667851033,3.84351853419233,6.54203703226867,4.1943518553895,5.20197531249788,-0.788461535097102,-0.856049365384357,-0.778290589650472,-0.77941123350167,-0.82225545024073,-0.817169977517414,-0.778850911576071,-0.8005531809084,-0.804583729512166
"23",2000,1.87481482051037,3.24222224067759,6.59037037248965,8.83740739469175,2.55851853059398,4.91629630658362,7.7138888835907,5.13620370709234,6.22333333595299,-0.0851281986510821,-0.135678997663082,0.646894587410821,0.139107292081103,-0.110403598157082,0.255607794873869,0.393000939745962,0.14129867079444,0.216774293942947
