"","Year","EBS_SC0","E166_SC0","W166_SC0","EBS_SC1","E166_SC1","W166_SC1","EBS_SC2","E166_SC2","W166_SC2","EBS_SC3","E166_SC3","W166_SC3","EBS_SC4","E166_SC4","W166_SC4","EBS_SC5","E166_SC5","W166_SC5","EBS_SC_TOTAL","E166_SC_TOTAL","W166_SC_TOTAL","EBS_ovig","E166_ovig","W166_ovig","EBS_os","E166_os","W166_os"
"20",1994,0,0,0,482977.70914923,0,482977.70914923,3508372.36265615,639995.76791222,2868376.59474393,33794296.142701,14668482.0631785,19125814.0795225,11794989.8614201,7246388.22672145,4548601.63469865,276622.430986502,0,276622.430986502,49857258.506913,22554866.0578121,27302392.4491008,49857258.506913,22554866.0578121,27302392.4491008,45589286.0041211,21914870.2898999,23674415.7142212
"21",1995,0,0,0,105643.456753061,0,105643.456753061,4078718.66001619,534289.193246949,3544429.46676924,33279345.0514518,9876369.29598042,23402975.7554714,25225591.3296354,12597701.3468353,12627889.9828001,43933.5068017232,43933.5068017232,0,62733232.0046582,23052293.3428644,39680938.6617938,62733232.0046582,23052293.3428644,39680938.6617938,58504936.3810873,22474070.6428157,36030865.7382715
"22",1996,0,0,0,142883.483690132,142883.483690132,0,2655660.73720123,964497.104343047,1691163.63285818,13280778.324197,9031711.87653925,4249066.44765773,10952286.2093132,4467351.83513376,6484934.37417943,20573715.9402819,9742864.75493038,10830851.1853515,47605324.6946834,24349309.0546366,23256015.6400468,47605324.6946834,24349309.0546366,23256015.6400468,24233064.5335102,13499063.711673,10734000.8218372
"23",1997,0,0,0,476073.051947496,171722.997898262,304350.054049235,3838117.32831538,2412354.50563991,1425762.82267548,3851011.70469785,1487090.24266816,2363921.46202968,6489931.32124509,4031124.45110395,2458806.87014113,644090.957816878,305145.913275261,338945.044541617,15299224.3640227,8407438.11058554,6891786.25343715,15299224.3640227,8407438.11058554,6891786.25343715,10340943.0259429,5518214.69377212,4822728.33217082
"24",1998,0,0,0,688913.801270747,163945.232026089,524968.569244658,3207261.55373943,1398104.94235943,1809156.61137999,3965749.52800418,1708985.46583029,2256764.06217389,3107703.38691526,2212259.28473426,895444.102180993,538879.046764389,432510.725127919,106368.32163647,11508507.316694,5915805.65007799,5592701.666616,11508507.316694,5915805.65007799,5592701.666616,7073452.91491944,3921244.75056455,3152208.16435488
"25",1999,0,0,0,801170.535178565,78672.6799038659,722497.855274699,7369333.15406401,3934890.04151416,3434443.11254985,5561468.19672527,3237415.31871508,2324052.87801019,5793831.28709149,4102792.50257781,1691038.78451367,250744.351657216,134958.985437937,115785.366219279,19776547.5247165,11488729.5281489,8287817.99656769,19776547.5247165,11488729.5281489,8287817.99656769,11355299.4838168,7340207.82129289,4015091.66252387
"26",2000,0,0,0,695216.386747995,179212.775593306,516003.611154688,5507592.56172126,2162690.56902583,3344901.99269543,7626464.32008845,5006735.43213955,2619728.8879489,6613968.84711841,6371774.34238043,242194.504737973,26847.3776659384,0,26847.3776659384,20470089.4933421,13720413.1191391,6749676.37420293,20470089.4933421,13720413.1191391,6749676.37420293,14240433.1672069,11378509.77452,2861923.39268687
"27",2001,0,0,0,1354274.43191066,598750.553460101,755523.878450564,8375432.19130364,1669517.75501168,6705914.43629196,10620355.7321262,2408396.17695838,8211959.55516782,5716547.8808093,1723654.58572495,3992893.29508435,119799.982063307,63668.6518176479,56131.3302456592,26186410.2182131,6463987.72297276,19722422.4952404,26186410.2182131,6463987.72297276,19722422.4952404,16336903.6129355,4132050.76268332,12204852.8502522
"28",2002,0,0,0,3937653.16195255,2450618.92024392,1487034.24170863,10133796.8507585,3347211.56710288,6786585.2836556,11577998.1289799,3221836.31167616,8356161.81730375,2352599.41206752,1009194.93906011,1343404.4730074,161726.214886149,28291.6048186813,133434.610067468,28163773.7686446,10057153.3429018,18106620.4257428,28163773.7686446,10057153.3429018,18106620.4257428,13930597.5410474,4231031.25073627,9699566.29031115
"29",2003,0,0,0,2543733.61568622,419943.238071777,2123790.37761444,24146185.8605475,6144037.88233196,18002147.9782155,28529912.0593541,4242790.29627824,24287121.7630758,3327662.64144233,652389.430135515,2675273.21130681,51446.312680608,0,51446.312680608,58598940.4897107,11459160.8468175,47139779.6428932,58598940.4897107,11459160.8468175,47139779.6428932,31857574.7007964,4895179.72641376,26962394.9743826
