"","lag","log(R/S)","x1","fit","se.fit"
"26","Lag 2",1.86624201015642,31857574.7007964,1.17002039372974,0.232320924521487
"27","Lag 2",1.38223530230907,20812285.1302063,1.51735724374945,0.246907922831074
"28","Lag 2",0.645170070716783,46456429.5054771,0.71997577149792,0.227434235727715
"29","Lag 2",-0.189946067695058,47825323.6892607,0.678550268936553,0.227820885835068
"30","Lag 2",0.691095813241268,38093529.7297871,0.976144981059219,0.228182757560298
"31","Lag 2",0.934367191102709,49940500.1749251,0.614854637843482,0.228687081939484
"32","Lag 2",1.77154886086778,36259952.2488488,1.03293177668282,0.229080749932864
"33","Lag 2",1.35095531927917,23811007.0470487,1.42270306106778,0.242079052573434
"34","Lag 2",1.4681568899855,16134877.9452361,1.66530843229327,0.255616892910075
"35","Lag 2",1.75616946819112,17930125.2702104,1.60848888874014,0.252111696556998
"36","Lag 2",0.239568854993022,31599773.9300566,1.17807751917861,0.23255770701285
"37","Lag 2",-0.469793847539239,73072785.0000193,-0.0518435767184736,0.255626707288217
"38","Lag 2",0.500933635398705,56325707.2503527,0.425072212767566,0.23316713244023
"39","Lag 2",1.90212838890045,37807762.6582526,0.984982215473343,0.228305182180038
"110","Lag 3",-1.41695939472549,79059524.6040307,-0.0729549206369239,0.248536717408346
"210","Lag 3",-0.0319620830460823,23347775.9865334,1.48451240046799,0.218773848951168
"310","Lag 3",0.804733310950297,58266263.1919942,0.48259854402857,0.210687064120305
"41","Lag 3",0.540750624716411,55226850.5341779,0.566940290176632,0.207112240028111
"51","Lag 3",-2.86712184998867,404970393.195223,-2.78581895488248,0.631790162917629
"61","Lag 3",-0.767396244534633,113737935.254468,-0.898518823378414,0.329119153438243
"71","Lag 3",0.351309182464468,72520697.3261809,0.0974049329521556,0.23473229188469
"81","Lag 3",1.95299701990407,20473912.7348603,1.56904298655733,0.224355926259561
"91","Lag 3",3.7267459133156,6372145.96691798,1.98482794450867,0.259855684416097
"101","Lag 3",2.52506364961706,9941374.63094721,1.87952734197374,0.249765012588336
"111","Lag 3",1.84502338420332,15848997.5574098,1.70529360348597,0.234625187176216
"121","Lag 3",0.185602119843222,43520299.2062181,0.89790649984381,0.200339537008164
"131","Lag 3",-1.57566793119319,128761060.659092,-1.21072203915056,0.36128906474328
"141","Lag 3",-1.6005653705309,195045854.722321,-2.24169475258871,0.452570997142175
"151","Lag 3",-1.69719224606126,110919151.422448,-0.836729941611382,0.322726100699275
"161","Lag 3",-0.527510186367184,46510175.8463052,0.812534281779404,0.200915698291967
"171","Lag 3",0.267481506532569,45589286.0041211,0.838772672564311,0.200649158095823
"181","Lag 3",0.095189640177552,58504936.3810873,0.476006180363365,0.210995261990481
